discount,caracteristic_time,power,prop_top_5,prop_bottom_50,prop_top_20_month,maximum_selection_frequency,minimum_selection_frequency,average_top_5_selection_frequency,average_bottom_50_selection_frequency,average_top_20_month_selection_frequency
100.0,527.2105263157895,1.0,0.3566666666666667,0.099,0.10755555555555556,0.145,0.0,0.03,0.0008342696629213482,0.0484
100.0,527.2105263157895,1.4444444444444444,0.40344444444444444,0.06355555555555556,0.1228888888888889,0.159,0.0,0.033934579439252335,0.0005355805243445693,0.055299999999999995
100.0,527.2105263157895,1.8888888888888888,0.4568888888888889,0.03911111111111111,0.12633333333333333,0.15,0.0,0.03842990654205607,0.0003295880149812734,0.056850000000000005
100.0,790.3157894736842,1.8888888888888888,0.436,0.04488888888888889,0.10433333333333333,0.154,0.0,0.036672897196261676,0.0003782771535580524,0.046950000000000006
100.0,790.3157894736842,2.3333333333333335,0.478,0.028555555555555556,0.11044444444444444,0.143,0.0,0.04020560747663551,0.0002406367041198502,0.0497
100.0,790.3157894736842,2.7777777777777777,0.5261111111111111,0.018,0.12611111111111112,0.179,0.0,0.04425233644859813,0.00015168539325842697,0.05675
100.0,790.3157894736842,3.2222222222222223,0.5701111111111111,0.011555555555555555,0.12655555555555556,0.192,0.0,0.047953271028037384,9.737827715355805e-5,0.05695
100.0,1053.421052631579,2.3333333333333335,0.47433333333333333,0.033777777777777775,0.10488888888888889,0.154,0.0,0.03989719626168224,0.0002846441947565543,0.047200000000000006
100.0,1053.421052631579,2.7777777777777777,0.518,0.021555555555555557,0.10833333333333334,0.165,0.0,0.04357009345794392,0.00018164794007490638,0.04875
100.0,1053.421052631579,3.2222222222222223,0.5493333333333333,0.012888888888888889,0.11411111111111111,0.163,0.0,0.04620560747663551,0.00010861423220973783,0.05135
100.0,1053.421052631579,3.6666666666666665,0.5924444444444444,0.009222222222222222,0.11711111111111111,0.184,0.0,0.049831775700934576,7.771535580524345e-5,0.052700000000000004
100.0,1316.5263157894738,3.2222222222222223,0.5447777777777778,0.012444444444444444,0.10711111111111112,0.174,0.0,0.045822429906542055,0.00010486891385767791,0.0482
100.0,1316.5263157894738,3.6666666666666665,0.5836666666666667,0.007666666666666666,0.10877777777777778,0.172,0.0,0.04909345794392523,6.460674157303372e-5,0.04895
100.0,1579.6315789473683,3.6666666666666665,0.5855555555555556,0.008666666666666666,0.10077777777777777,0.184,0.0,0.04925233644859813,7.303370786516854e-5,0.04535
100.0,1579.6315789473683,4.111111111111111,0.6172222222222222,0.006,0.11266666666666666,0.192,0.0,0.051915887850467295,5.056179775280899e-5,0.0507
100.0,1842.7368421052631,3.6666666666666665,0.5692222222222222,0.009777777777777778,0.10355555555555555,0.18,0.0,0.04787850467289719,8.239700374531835e-5,0.0466
100.0,2368.9473684210525,4.555555555555555,0.6413333333333333,0.003111111111111111,0.10377777777777777,0.194,0.0,0.053943925233644864,2.6217228464419478e-5,0.046700000000000005
100.0,2632.0526315789475,4.111111111111111,0.6106666666666667,0.006,0.10133333333333333,0.193,0.0,0.05136448598130841,5.056179775280899e-5,0.0456
2138.7755102040815,527.2105263157895,1.0,0.35888888888888887,0.09777777777777778,0.11688888888888889,0.158,0.0,0.03018691588785047,0.0008239700374531835,0.0526
2138.7755102040815,527.2105263157895,1.4444444444444444,0.4001111111111111,0.06911111111111111,0.12144444444444444,0.156,0.0,0.03365420560747663,0.0005823970037453183,0.05465
2138.7755102040815,527.2105263157895,1.8888888888888888,0.4587777777777778,0.041,0.12833333333333333,0.178,0.0,0.038588785046728975,0.0003455056179775281,0.05775
2138.7755102040815,527.2105263157895,2.3333333333333335,0.5057777777777778,0.02722222222222222,0.1391111111111111,0.184,0.0,0.042542056074766355,0.0002294007490636704,0.0626
2138.7755102040815,790.3157894736842,1.8888888888888888,0.43677777777777776,0.043444444444444445,0.10488888888888889,0.141,0.0,0.03673831775700935,0.00036610486891385766,0.047200000000000006
2138.7755102040815,790.3157894736842,2.3333333333333335,0.49033333333333334,0.02788888888888889,0.11566666666666667,0.168,0.0,0.04124299065420561,0.0002350187265917603,0.05205
2138.7755102040815,790.3157894736842,2.7777777777777777,0.5236666666666666,0.018222222222222223,0.12455555555555556,0.189,0.0,0.044046728971962615,0.0001535580524344569,0.056049999999999996
2138.7755102040815,1053.421052631579,2.3333333333333335,0.4777777777777778,0.03255555555555555,0.10066666666666667,0.139,0.0,0.04018691588785047,0.00027434456928838953,0.0453
2138.7755102040815,1053.421052631579,2.7777777777777777,0.5135555555555555,0.01988888888888889,0.10733333333333334,0.153,0.0,0.04319626168224299,0.00016760299625468163,0.048299999999999996
2138.7755102040815,1053.421052631579,3.2222222222222223,0.5634444444444444,0.012555555555555556,0.11222222222222222,0.172,0.0,0.04739252336448598,0.00010580524344569288,0.0505
2138.7755102040815,1053.421052631579,3.6666666666666665,0.588,0.009222222222222222,0.11766666666666667,0.191,0.0,0.049457943925233644,7.771535580524345e-5,0.052950000000000004
2138.7755102040815,1316.5263157894738,3.2222222222222223,0.5464444444444444,0.012888888888888889,0.10233333333333333,0.159,0.0,0.04596261682242991,0.00010861423220973783,0.046049999999999994
2138.7755102040815,1316.5263157894738,3.6666666666666665,0.5895555555555556,0.006888888888888889,0.10711111111111112,0.173,0.0,0.04958878504672897,5.805243445692884e-5,0.0482
2138.7755102040815,1579.6315789473683,3.2222222222222223,0.5478888888888889,0.014333333333333333,0.101,0.159,0.0,0.04608411214953271,0.00012078651685393258,0.045450000000000004
